AKIBA’S TRIP -THE ANIMATION-,,13,128,2,2017,冬,../anime/AKIBA’S TRIP -THE ANIMATION-/
Aldonoah.Zero,,12,49925,4,2014,夏,../anime/ALDNOAH.ZERO/第一期/
Aldonoah.Zero(第2期),,12,49925,4,2015,冬,../anime/ALDNOAH.ZERO/第二期/
Angel Beats! ,AB!,13,140102,5,2010,春,../anime/Angel Beats!/
BEATLESS,,20,49921,5,2018,冬,../anime/BEATLESS/BEATLESS/
BEATLESS FINALSTAGE(第2期),,4,49921,5,2018,春,../anime/BEATLESS/BEATLESS FINALSTAGE/
BLACK LAGOON,,12,769,4,2006,春,../anime/BLACK LAGOON/BLACK LAGOON(第一期)/
BLACK LAGOON The Second Barrage(第二期),,12,769,4,2006,秋,../anime/BLACK LAGOON/BLACK LAGOON The Second Barrage(第二期)/
BLACK LAGOON Roberta's Blood Trail(第三期;OVA),,5,769,4,2010,夏,../anime/BLACK LAGOON/BLACK LAGOON Roberta's Blood Trail(OVA)/
BTOOOM!,,12,578,3,2012,秋,../anime/BTOOOM!/
Carnival Phantasm,CP,12,131204,4,2011,夏,../anime/Carnival Phantasm/
Chaos;Child,カオチャ,12,289,4,2017,冬,../anime/Chaos;Child/
Charlotte,,13,131911,4,2015,夏,../anime/Charlotte(シャーロット)/
citrus,,12,131078,3,2018,冬,../anime/citrus/
Clannad,,22,131142,4,2007,秋,../anime/Clannad/Clannad/
Clannad After Story,,22,131142,4,2008,秋,../anime/Clannad/Clannad After Story/
Classroom☆Crisis,クラ☆クラ,13,163852,4,2015,夏,../anime/Classroom☆Crisis/
COPPELION,,13,33541,3,2013,秋,../anime/COPPELION/
Cowboy Bebop,,13,65536,0,1998,秋,../anime/Cowboy Bebop/
DARKER THAN BLACK -黒の契約者-(第一期),DARKER,26,769,0,2007,春,../anime/DARKER THAN BLACK/DARKER THAN BLACK -黒の契約者-/
DARKER THAN BLACK -黒の契約者- 外伝(第三期;OVA),DARKER,4,769,0,2012,冬,../anime/DARKER THAN BLACK/DARKER THAN BLACK -黒の契約者-外伝/
Dies irae,,11,773,0,2017,秋,../anime/Dies irae/
DOUBLE DECKER! ダグ&キリル,,0,65536,0,2018,秋,../anime/DOUBLE DECKER! ダグ&キリル/
Fate EXTRA Last Encore,,10,261,4,2018,冬,../anime/Fate/Fate EXTRA Last Encore/
Fate kaleid liner プリズマ☆イリヤ,プリヤ,10,4357,4,2013,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/Fate kaleid liner プリズマ☆イリヤ/
Fate kaleid liner プリズマ☆イリヤ ツヴァイ！(第二期),プリヤ,10,4357,4,2014,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/Fate kaleid liner プリズマ☆イリヤ ツヴァイ！/
Fate kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！(第三期),プリヤ,10,4357,4,2015,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/Fate kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！/
Fate kaleid liner プリズマ☆イリヤ ドライ!!(第四期),プリヤ,12,4357,4,2016,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/Fate kaleid liner プリズマ☆イリヤ ドライ!!/
Fate kaleid liner プリズマ☆イリヤ 雪下の誓い(劇場版),プリヤ,1,4357,4,2017,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/劇場版 Fate kaleid liner プリズマ☆イリヤ 雪下の誓い/
Fate stay night [Unlimited Blade Works](第一期),UBW,12,650,5,2014,秋,../anime/Fate/Fate stay night [Unlimited Blade Works]/第一期/
Fate stay night [Unlimited Blade Works](第二期),UBW,13,650,5,2015,春,../anime/Fate/Fate stay night [Unlimited Blade Works]/第二期/
Fate Zero(第一期),,13,833,5,2011,秋,../anime/Fate/Fate Zero/第一期/
Fate Zero(第二期),,12,833,5,2012,冬,../anime/Fate/Fate Zero/第二期/
Fate Project 大晦日TVスペシャル First & Next Order,,1,257,4,2016,冬,../anime/Fate/Fate Project 大晦日TVスペシャル/
Fate Project 大晦日TVスペシャル2017 ,,1,257,4,2017,冬,../anime/Fate/Fate Project 大晦日TVスペシャル/
Free!-Dive to the Future-,,12,65536,0,2018,夏,../anime/Free!-Dive to the Future-/
GA 芸術科アートデザインクラス,,12,131076,3,2009,夏,../anime/GA 芸術科アートデザインクラス/
GATE -自衛隊 彼の地にて、斯く戦えり- (第一期),GATE,12,9993,5,2016,冬,../anime/GATE -自衛隊 彼の地にて、斯く戦えり-/第一期/
GATE -自衛隊 彼の地にて、斯く戦えり- (第二期),GATE,12,9993,5,2015,夏,../anime/GATE -自衛隊 彼の地にて、斯く戦えり-/第二期/
GJ部,,12,121076,4,2013,冬,../anime/GJ部/
GOSICK -ゴシック-,,24,131335,5,2011,冬,../anime/GOSICK -ゴシック-/
GRANBLUE FANTASY The Animation,グラブル,13,140545,3,2017,春,../anime/GRANBLUE FANTASY The Animation/
GUNSLINGER GIRL(第一期),ガンスリ,13,769,3,2003,秋,../anime/GUNSLINGER GIRL/GUNSLINGER GIRL/
GUNSLINGER GIRL IL Teatrino(第二期),ガンスリ,13,769,3,2008,冬,../anime/GUNSLINGER GIRL/GUNSLINGER GIRL IL Teatrino/
INGRESS THE ANIMATION,,0,65536,0,2018,秋,../anime/INGRESS THE ANIMATION/
IS 〈インフィニット・ストラトス〉(第一期),,12,180997,3,2011,冬,../anime/IS 〈インフィニット・ストラトス〉/IS 〈インフィニット・ストラトス〉/
IS 〈インフィニット・ストラトス〉2(第二期),,12,180997,3,2013,秋,../anime/IS 〈インフィニット・ストラトス〉/IS 〈インフィニット・ストラトス〉2/
ISLAND,,12,65536,0,2018,夏,../anime/ISLAND/
JKめし！,,26,133120,3,2015,秋,../anime/JKめし！/
Just Because!,,12,121078,4,2017,秋,../anime/Just Because!/
kiss×sis,,12,131078,3,2010,春,../anime/kiss×sis/
NEW GAME!(第一期),,12,131080,4,2016,夏,../anime/NEW GAME!/NEW GAME!/
NEW GAME!!(第二期),,12,131080,4,2017,夏,../anime/NEW GAME!/NEW GAME!!/
Occultic;Nine -オカルティック・ナイン-,,12,40960,3,2016,秋,../anime/Occultic;Nine -オカルティック・ナイン-/
One Room(第一期),,12,131074,3,2017,冬,../anime/One Room/One Room/
One Room セカンドシーズン,,12,131074,3,2018,夏,../anime/One Room/One Room セカンドシーズン/
Persona4 the ANIMATION,P4,25,65536,0,2011,秋,../anime/ペルソナ/Persona4 the ANIMATION/
persona4 the Golden ANIMATION,P4GA,12,65536,0,2014,夏,../anime/ペルソナ/persona4 the Golden ANIMATION/
PERSONA5 the Animation -THE DAY BREAKERS-,,1,65536,0,2016,秋,../anime/ペルソナ/PERSONA5 THE ANIMATION - THE DAY BREAKERS -/
Phantom ～Requiem for the Phantom～,,26,769,3,2009,春,../anime/Phantom ～Requiem for the Phantom～/
planetarian ～ちいさなほしのゆめ～,,5,49665,3,2016,夏,../anime/planetarian ～ちいさなほしのゆめ～/
PSYCHO-PASS,,22,33321,5,2012,秋,../anime/PSYCHO-PASS/PSYCHO-PASS/
PSYCHO-PASS新編集版,,11,33321,5,2014,夏,../anime/PSYCHO-PASS/PSYCHO-PASS 2期/
PSYCHO-PASS 2,,11,33321,5,2014,秋,../anime/PSYCHO-PASS/PSYCHO-PASS(新編集版)/
劇場版 PSYCHO-PASS,,1,33321,5,2015,冬,../anime/PSYCHO-PASS/劇場版 PSYCHO-PASS/
Rail Wars!,,12,121595,4,2014,夏,../anime/Rail Wars!/
Re:ゼロから始める異世界生活,リゼロ,25,140611,5,2016,春,../anime/Re：ゼロから始める異世界生活/
Re:CREATORS（レクリエイターズ）,,22,62217,4,2017,春,../anime/ReCREATORS（レクリエイターズ）/
RELEASE THE SPYCE,,0,781,3,2018,秋,../anime/RELEASE THE SPYCE/
Rewrite(第一期),,13,773,3,2016,夏,../anime/Rewrite/1stシーズン/
Rewrite(第二期),,11,773,3,2017,冬,../anime/Rewrite/2ndシーズン/
ROBOTICS;NOTES ,,22,0,0,2012,秋,../anime/ROBOTICS;NOTES/
School Days,,12,36,0,2007,夏,../anime/School Days
selector infected WIXOSS(第一期),,12,65536,0,2014,春,../anime/selector infected WIXOSS/
selector spread WIXOSS,,12,65536,0,2014,秋,../anime/selector spread WIXOSS/
SHIROBAKO,,24,131080,4,2014,秋,../anime/SHIROBAKO/
SKET DANCE,,77,131212,4,2011,春,../anime/SKET DANCE/
